Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,Employer Provided Salary:$70K - $90K,"Data Scientist
QuaEra, a rapidly growing NY/NJ-based startup, is looking for ambitious, passionate professionals to join its expanding team. QuaEra provides business organizations with cutting-edge decision-making solutions using advanced analytics, predictive modeling, and decision science methods.
QuaEra has developed a transformative hyper-personalization scoring-as-a- service solution called Aignyte (www.aignyte.com), which uses the latest in
AI, NLP, and other innovative techniques to increase direct marketing response. The hired individual will be part of the firm’s data science team building and implementing Aignyte and supporting the servicing of clients.
Applicants can be remote to NY/NJ but may need to travel there when conditions allow that.
Our Co-founders have a combined 50 years of experience in leadership roles in the industry. We are looking for quantitative problem solvers to work alongside them as well as senior business leaders to deliver and grow
Aignyte. If you have the entrepreneurial drive, intellectual curiosity, willingness to think out of the box, and want to learn from the best, then we want to hear from you.",-1,Aignyte,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"FocusKPI is looking for a Data Scientist to work for our client.
Work Location: Remote
Duration: Contract position and potential for extension
Responsibilities:
Perform hands-on coding to retrieve and analyze large datasets using Python and SQL
Integrate disparate data sources and leverage state-of-the-art analytics best practices to deliver integrated actionable insights to partners and stakeholders
Manage and streamline data extraction process with great attention to details
Assess the potential usefulness, validity, and rigor of new data sources",3.4,"FocusKPI Inc.
3.4",Remote,51 to 200 Employees,-1,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD)
Junior Data Scientist,$68K - $114K (Glassdoor est.),"Overview:
SRI International, an over 75-year strong pioneering research institute, has a rich history supporting government and industry. Our innovations have created new industries, billions of dollars in market value and lasting benefits to society. SRI is organized around broad disciplines and capabilities, with research and development divisions and labs to groups who excel at identifying new opportunities, developing products and creating custom solutions. Our organization is driven by impact - delivering unique solutions for the world's important challenges and transforming ideas into reality for clients and partners.
Responsibilities:
The Junior Data Scientist, as part of SRI International's Center for Innovation Strategy and Policy (CISP), will contribute to the design and execution of data analysis tasks in support of a diverse range of clients and projects, based out of our Arlington, VA location (Remote work due to COVID). CISP helps organizations, regions, and countries achieve economic and social impact through effective investments in science, technology, and innovation.
Qualifications:",3.9,"SRI International
3.9","Arlington, VA",1001 to 5000 Employees,1946,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD)
Data Scientist – Deep learning,Employer Provided Salary:$130K,"Data Scientist – Deep learning
Remote
Market leading salary plus benefits
TECH STACK: Object-Oriented Programming languages
One of the fastest growing Insurtech companies in the US is looking for a Data scientist with a experience in Deep learning to join.
ABOUT THE COMPANY
This organisation has recently received a huge seed investment to scale out their platform across the US and as a direct result are investing multiple millions of dollars into their advanced analytics capabilities.",-1,Dataworks,"New York, NY",51 to 200 Employees,-1,Company - Private,Consulting,Business Services,Less than $1 million (USD)
Data Scientist,Employer Provided Salary:$110K - $150K,"Job Description: DispatchHealth is creating the most advanced and complete in-home care model in the world. As a main contributor toward that goal, the data scientist will work cross-functionally to identify, deliver and implement robust data science solutions to solve business problems. In addition, the data scientist will work directly with the tech organization to facilitate the implementation of algorithms, analytics monitoring, and will measure their tools against key performance indicators in order to drive business outcomes. This person will report to the Vice President of Data Science and Data Engineering.
The pay range for this position in Colorado is $110,000 - $150,000/yr; however, base pay offered may vary depending on job-related knowledge, skills, candidate location, and experience.
DispatchHealth is committed to creating and supporting a diverse and inclusive team and serving all communities. All qualified applicants will be considered for employment regardless of race, gender, gender identity or expression, sexual orientation, religion, national origin, disability, age or veteran status.",3.2,"DispatchHealth
3.2","Denver, CO",1001 to 5000 Employees,2015,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
NLP Data Scientist,Employer Provided Salary:$70 Per Hour,"Position is work from home. Once Covid restrictions lift, the person can work out of any of the following locations: Woodland Hills, CA/Mason, OH/Atlanta, GA/Richmond, VA/Norfolk, VA
NLP
Feature Engineering
Model Training
Model Performance tuning
Python
Chat bot experience (IBM Watson – nice to have)",-1,CCIT INC,Remote,-1,-1,-1,-1,-1,-1
Senior Data Scientist,-1,"-COVID-19 Hiring Update-
As the health and safety of our candidates and our employees come first, we're excited to provide virtual experiences for interviews and new hire on-boarding. Currently, reopening of offices is planned for January 2022.
Who we are:
Dataminr puts real-time AI and public data to work for our clients, generating relevant and actionable alerts for global corporations, public sector agencies, newsrooms, and NGOs. Our leading AI platform detects the earliest signals of high-impact events and emerging risks from vast amounts of publicly available information. Our real-time alerts enable tens of thousands of users at hundreds of public and private sector organizations to learn first of breaking events around the world, develop effective risk mitigation strategies, and respond with confidence as crises unfold.",4.3,"Dataminr
4.3",New York State,501 to 1000 Employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist - Intermediate,$80K - $141K (Glassdoor est.),"The Environment Modeling Team at The Climate Corporation is seeking a highly motivated data scientist with applied experience with soils data to join our team within the Science organization. The position is within the science R&D team that leverages modeling, big data, and cloud computing to address scientific challenges in precision agriculture. In this position, you will leverage data science and soil science to analyze complex data, develop and test features, and/or develop environmental and agronomic models. As part of our diverse, highly dynamic group, you will work side-by-side with a team of data scientists, statisticians, soil scientists, and environmental scientists.

What You Will Do:
Clean, munge, and explore diverse environmental datasets, including soils, weather, crop, etc.",4.1,"Bayer
4.1","San Francisco, CA",10000+ Employees,1863,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist - Remote,$73K - $152K (Glassdoor est.),"Auto req ID: 13763
Title: Data Scientist - Remote
Job Function: Risk Management
Location: CHICAGO
Company: Harley-Davidson Financial Services
Full or Part-Time:Full Time

At Harley-Davidson, we are building more than machines. It’s our passion and commitment to continue the evolution of this storied brand, and heighten the desirability of the Harley-Davidson experience. To keep building our legend and leading our industry through innovation, evolution, and emotion we need the best and brightest talent. We stand for the timeless pursuit of adventure. Freedom for the soul. Are you ready to join us?",3.4,"Harley-Davidson
3.4","Chicago, IL",5001 to 10000 Employees,1903,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$2 to $5 billion (USD)
Senior Data Scientist,Employer Provided Salary:$150K,"Job Responsibilities:
Project Delivery (70 - 85%)
Consult clients to define and refine business objectives towards data-driven decision problems
Research internal & external tools & methodologies to develop AIML solution concepts for client problem briefs..
Work with client & IPH team to rapidly prototype innovative AIML solutions including: data & requirements gathering, technological scoping and architecture, code implementation, insights delivery and recommendations.
Work with cross-functional client & IPH team to scale AIML solutions to production systems.",3.0,"Innovative Precision Health
3.0",Remote,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$80K - $158K (Glassdoor est.),"COMPANY OVERVIEW

Engine No. 1 is an investment firm purpose-built to lead the next generation of investing. We use ESG data to drive economic value. We believe creating value for shareholders cannot be separated from the impact companies have on their stakeholders, and that the largest driver of long-term value will be the investments companies make in jobs, workers, communities, and the environment. The firm will invest as an active, engaged owner in public and private companies to generate market-leading financial returns over the long-term through: private equity, concentrated funds, and both index and active ETFs.

As a young investment company, Engine No. 1 is seeking enthusiastic and highly engaged professionals to join us in advancing our mission. The ideal teammate is intellectually honest, proactive and flexible, constantly learning and improving, committed to advancing innovation across the industry, and upholds the highest integrity standards. The Engine No. 1 team is leading the movement towards a more sustainable and inclusive capitalism. Join us.",4.0,"Engine No. 1
4.0","San Francisco, CA",Unknown,-1,Government,Municipal Governments,Government,Unknown / Non-Applicable
Data Scientist,$84K - $150K (Glassdoor est.),"ROLE SUMMARY:
Provide scientific leadership and technical support for Pfizer clinical and non-clinical projects. This is a science-based position with limited managerial and administrative responsibilities. The applicant will work with teams in many therapeutic areas across the enterprise, on both clinical and non-clinical applications. Emphasis will be on application of artificial intelligence (AI) systems and predictive modelling techniques across the drug development continuum using structured and unstructured data sources, including image-based data, real-world data, and data from unstructured text (e.g., adverse event reporting). The applicant is expected to develop effective collaborations with relevant stakeholders including bench scientists, study statisticians, clinicians, development operations, pharmaceutical sciences, regulatory and safety.
The responsibilities and effort for the position are divided approximately equally between project-specific collaboration, longer-term methodological research to support drug development, training, and external activities.
Medical",4.2,"Pfizer
4.2","New York, NY",10000+ Employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$73K - $126K (Glassdoor est.),"Equifax is looking for a Statistical Consultant/Data Scientist to join our world-class Global Identity and Fraud Analytics team. In this exciting role, you will have the opportunity to work on a variety of challenging projects across multiple industries including Financial Services, Telecommunications, eCommerce, Healthcare, Insurance and Government.
What You'll Do:
Conduct big data analytics and builds solutions for difficult and large data and business problems under management guidance
Contribute to the analytical and code design for problem solution
Deliver on multiple components of solutions leveraging technical expertise.",3.7,"Equifax
3.7","Alpharetta, GA",10000+ Employees,1899,Company - Public,Financial Analytics & Research,Finance,$2 to $5 billion (USD)
Data Scientist,-1,"Company Summary
Taking care of our customers, our communities and each other. That’s the Travelers Promise. By honoring this commitment, we have maintained our reputation as one of the best property casualty insurers in the industry for over 160 years. Join us to discover a culture that is rooted in innovation and thrives on collaboration. Imagine loving what you do and where you do it.
Target Openings
1
Job Description Summary
Business Insurance Actuarial and Analytics (BIAA) has an open Data Scientist position on the BI Analytics & Research Product team. This position includes hands on modeling and analytics work and has two key responsibilities. One is partnering with Risk Control to identify and execute on new analytic solutions that enhance Risk Control processes. The second is maintaining our GL Benchmark models with model refreshes as well as exploring enhancements through new variables or new techniques. The position works closely with business partners in Risk Control, Actuarial Product, BCO, and business unit actuarial teams.",4.0,"Travelers
4.0","Hartford, CT",10000+ Employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Data Scientist - Entry Level,$69K - $115K (Glassdoor est.),"Job Details
New ideas are all around us, but only a few will change the world. That’s our focus at JPL. We ask the biggest questions, then search the universe for answers—literally. We build upon ideas that have guided generations, then share our discoveries to inspire generations to come. Your mission—your opportunity—is to seek out the answers that bring us one step closer. If you’re driven to discover, create, and inspire something that lasts a lifetime and beyond, you’re ready for JPL.
Located in Pasadena, California, JPL has a campus-like environment situated on 177 acres in the foothills of the San Gabriel Mountains and offers a work environment unlike any other: we inspire passion, foster innovation, build collaboration, and reward excellence.",4.5,"JPL/NASA
4.5","Pasadena, CA",5001 to 10000 Employees,1936,Nonprofit Organization,Federal Agencies,Government,Unknown / Non-Applicable
Data Scientist- Machine Learning,Employer Provided Salary:$70 Per Hour,"Responsibilities:
Theoretical and applied principles of statistical analysis, machine learning, data mining, and other research methodologies
Must have extensive exposure to Sage-Maker.
Data Science: proficient in exploratory data analysis, detecting patterns, analyzing distributions, visualizing results and extracting insights to help business make informed data driven decisions.
Understanding of statistics, probability, regression, databases, data transformation and visualization tools.
Machine learning: proficient in supervised and unsupervised algorithms to build predictive models and prescriptive solutions to support various business use cases.",-1,Spotline Inc,"Oakland, CA",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$31 - $79 Per Hour,"Job Description
You’ll be able to leverage large-scale rich data to meaningfully improve and refine our identification of malicious computer software and behavioral threats. If you’re ready to work with subject matter experts in the industry in a collaborative environment with unrivaled technology, apply today.
Responsibilitities:
*
Mine large scale and high dimensional data, identify patterns and visualize trends
Create predictive models using supervised learning techniques to detect and stop the most sophisticated threats",4.1,"workcog
4.1",Remote,51 to 200 Employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,Employer Provided Salary:$150K,"We are adding a Data Scientist to our growing team!

ABOUT AMERICAN CAPITAL GROUP
American Capital Group (ACG) is a fully-integrated real estate investment and development company. The company has designed and built more than 80 multifamily properties across 12 states over its 33 year history. Today, ACG is an industry leader with dedicated personnel in Engineering, Design, Acquisition, Development, Construction, Property Management, and Investment Management. We strongly value teamwork, integrity, transparency and strive to deliver the highest quality products and services to our investors and customers.",4.3,"American Capital Group
4.3","Bellevue, WA",51 to 200 Employees,1986,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable
Data Scientist,$68K - $110K (Glassdoor est.),"Company: Oak Street Health
Title: Data Scientist

Location: Remote

Oak Street Health is a network of value-based neighborhood primary care centers throughout the Midwest. Oak Street operates an innovative model that drives patient engagement, improves health outcomes, and manages medical costs for the older adult population. In this virtuous cycle: every dollar saved is another dollar we can reinvest to improve patient care. Our model supports our social mission of improving the health and happiness of our patients and the community.",3.9,"Oak Street Health
3.9","Chicago, IL",1001 to 5000 Employees,2012,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
BHJOB15656_16794 - Data Scientist,$61K - $130K (Glassdoor est.),"The recruitment team here at Myticas is looking to hire 2 Data Scientists to assist with building our client's nextgen (next generation) of advanced analytics products using AI, Data Science, and ML (Machine learning).
The Data Scientists we are seeking will collaborate across internal teams to create predictive models and identify opportunities to make informed business decisions and create value for our customer base. The primary responsibilities will be applying a knowledge of statistics, machine learning (ML) programming, data modeling, simulation, and advanced mathematics for recognizing patterns, identify opportunities, posing business questions, and making valuable discoveries leading to prototype development and new product offerings.
REQUIREMENTS:
Degree in a scientific or quantitative field or a proven proficiency in these areas",3.7,"Myticas Consulting
3.7","Chicago, IL",1 to 50 Employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,"Job-Specific Responsibilities
Our group in the Department of Neurobiology at Harvard Medical School is looking for an innovative and enthusiastic data scientist to join a multidisciplinary research laboratory. We are interested in understanding how computations arise from the organization and connectivity of neuronal networks. To analyze neural circuit structure and function at highest resolution and completeness possible, we combine structural and functional imaging techniques including high-throughput electron and X-ray microscopy, and in vivo two-photon calcium imaging. We seek a data scientist with programming and machine learning skills. They should be capable of handling and analyzing big data and developing and working with artificial neural networks.

Main projects include:
development and application of machine learning approaches for image segmentation and analyses;
Success will require a close working collaboration with biologists and the ability to develop coordinated solutions to address biological questions. Building and optimizing novel data analysis pipelines will play a vital role in helping us to better understand the brain.

Typical duties of the Functional Connectomics Data Scientist include:

We offer the opportunity to:",4.3,"Harvard University
4.3","Boston, MA",10000+ Employees,1636,College / University,Colleges & Universities,Education,$10+ billion (USD)
